ma_don_vi,ma_bao_cao,ma_chi_tieu,fld_code,ky_du_lieu,gia_tri
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-10,61
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-10,25
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-10,34
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-10,155
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-10,61
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-10,25
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-10,34
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-10,155
UBND.0019,10628953,CT_UBND.0020,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0020,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0020,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0020,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0021,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0021,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0021,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0021,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0022,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0022,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0022,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0022,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0023,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0023,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0023,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0023,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0024,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0024,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0024,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0024,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0025,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0025,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0025,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0025,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0026,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0026,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0026,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0026,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0027,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0027,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0027,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0027,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0028,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0028,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0028,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0028,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0029,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0029,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0029,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0029,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0030,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0030,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0030,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0030,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0031,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0031,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0031,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0031,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0032,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0032,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0032,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0032,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0033,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0033,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0033,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0033,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0034,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0034,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0034,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0034,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0035,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0035,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0035,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0035,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0036,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0036,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0036,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0036,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0037,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0037,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0037,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0037,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0038,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0038,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0038,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0038,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0039,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0039,FN01,2025-07-10,
