ma_don_vi,ma_bao_cao,ma_tieu_chi,fld_code,ky_du_lieu,gia_tri
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-10,61.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-10,25.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-10,34.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-10,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-10,61.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-10,25.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-10,34.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-10,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-11,67.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-11,45.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-11,50.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-11,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-11,67.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-11,45.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-11,50.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-11,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-14,51.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-14,32.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-14,38.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-14,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-14,51.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-14,32.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-14,38.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-14,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-15,65.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-15,30.0
